Nom commune,LivingArea,Price,Refnis code,€/m2
Cerfontaine,3974.0,7096899,11024.0,1785.8326623049825
Chapelle-lez-Herlaimont,7763.0,15662272,11024.0,2017.5540383872215
Charleroi,177955.0,265679752,11024.0,1492.9603101907785
Chastre,9618.0,22905514,43018.0,2381.525681014764
Chaudfontaine,22332.0,67417575,31043.0,3018.877619559377
Chaumont-Gistoux,27942.0,89485781,11008.0,3202.554613127192
Chimay,10342.0,19228700,11039.0,1859.282537226842
Chiny,7430.0,16966000,11008.0,2283.445491251682
Chièvres,5629.0,9889211,62003.0,1756.8326523361166
Châtelet,28669.0,34062785,71053.0,1188.139976978618
Ciney,24659.0,48894400,62022.0,1982.8216878218907
Clavier,5303.0,10360732,11002.0,1953.749198566849
Colfontaine,14692.0,20688895,11002.0,1408.1741764225428
Comblain-au-Pont,4755.0,10784900,11002.0,2268.117770767613
Comines-Warneton,6616.0,20912061,11002.0,3160.831469165659
Courcelles,27879.0,48841215,11002.0,1751.8998170666093
Court-Saint-Etienne,11607.0,33102834,11002.0,2851.971568880848
Courtrai,119173.0,333556315,11002.0,2798.925217960444
Couvin,15676.0,22759400,11002.0,1451.8627200816534
Crisnée,8518.0,20997700,11002.0,2465.0974407137824
Dalhem,6867.0,14946600,11002.0,2176.583660987331
Damme,34136.0,158507623,25044.0,4643.415250761659
Daverdisse,4281.0,8091950,25044.0,1890.200887643074
De Haan,37499.0,140953045,25044.0,3758.84810261607
De Pinte,7482.0,22979929,25044.0,3071.361801657311
Deerlijk,25254.0,79896722,25044.0,3163.7254296349092
Deinze,78507.0,239896523,31005.0,3055.734176570242
Denderleeuw,25849.0,78053431,46025.0,3019.5918991063486
Dentergem,13900.0,34536122,24062.0,2484.61309352518
Dessel,14285.0,36705819,24062.0,2569.5358067903394
Destelbergen,21613.0,62244865,24062.0,2879.973395641512
Diepenbeek,14143.0,36774122,24062.0,2600.164180159796
Diest,15797.0,39339300,32003.0,2490.301956067608
Dilbeek,53948.0,150044783,24062.0,2781.2853673908207
Dilsen-Stokkem,14797.0,26029968,34027.0,1759.1382036899372
Dinant,23333.0,41394433,34040.0,1774.0724724638924
Dison,12349.0,21325534,34022.0,1726.9037169001538
Dixmude,39846.0,83297517,31005.0,2090.4862972443907
Doische,1978.0,3365800,31005.0,1701.6177957532861
Donceel,2212.0,4947100,42028.0,2236.482820976492
Dour,17884.0,21688700,21004.0,1212.7432341757997
Drogenbos,2499.0,7641000,,3057.623049219688
Duffel,14744.0,37178626,11002.0,2521.610553445469
Durbuy,38583.0,86361500,38008.0,2238.330352746028
Ecaussinnes,7232.0,13414967,12025.0,1854.9456581858408
Edegem,30474.0,102926825,62096.0,3377.5292052241257
Eeklo,30174.0,72930681,12025.0,2417.0040763571287
Eghezée,11728.0,27100570,12025.0,2310.758015006821
Ellezelles,10821.0,25373012,12025.0,2344.793641992422
Enghien,30759.0,63872400,12025.0,2076.543450697357
Engis,6809.0,11424000,12025.0,1677.7794096049347
Erezée,6291.0,11138000,73001.0,1770.4657447146717
Erpe-Mere,32885.0,78397270,64074.0,2383.982666869393
Erquelinnes,7185.0,10991675,57081.0,1529.8086290883787
Esneux,11051.0,37234371,93088.0,3369.32141887612
Espierres-Helchin,3038.0,5704156,25091.0,1877.6023699802502
Essen,19078.0,48538246,25121.0,2544.1999161337667
Estaimpuis,21699.0,50293534,21015.0,2317.781188073183
Estinnes,5424.0,9667000,62015.0,1782.2640117994101
Etalle,6016.0,11826000,52011.0,1965.7579787234042
Eupen,11767.0,32021779,53053.0,2721.320557491289
Evere,31237.0,114271373,57081.0,3658.20574959183
Evergem,42397.0,137924117,31043.0,3253.1574639715072
Faimes,4514.0,8675500,21018.0,1921.9096145325655
Farciennes,9633.0,11552300,21018.0,1199.2421883110142
Fauvillers,3291.0,7174000,21018.0,2179.8845335764204
Fernelmont,6855.0,21447799,21018.0,3128.781765134938
Ferrières,7916.0,10957274,21018.0,1384.1932794340576
Fexhe-le-Haut-Clocher,2261.0,6013400,21018.0,2659.6196373286157
Fleurus,23362.0,45930916,21016.0,1966.0523927745912
Flobecq,3354.0,5214000,21016.0,1554.561717352415
Floreffe,6139.0,11293500,62063.0,1839.6318618667535
Florennes,9396.0,13007743,61081.0,1384.3915495955725
Florenville,3181.0,11146500,21012.0,3504.086765168186
Flémalle,30385.0,53551747,31043.0,1762.4402501234163
Fléron,29713.0,73479730,31043.0,2472.9825328980583
Fontaine-l’Evêque,14269.0,21020117,31043.0,1473.1317541523583
Forest,63291.0,232485572,31004.0,3673.2801188162616
Fosses-la-Ville,19179.0,39945998,73006.0,2082.798790343605
Fourons,1612.0,4327850,33029.0,2684.77047146402
Frameries,17496.0,28558309,34027.0,1632.2764631915866
Frasnes-lez-Anvaing,12759.0,24304321,41024.0,1904.8766361000078
Froidchapelle,2769.0,7445442,38008.0,2688.8559046587216
Furnes,23899.0,67474286,34009.0,2823.310012971254
Gammerages,18743.0,48596335,31043.0,2592.772501733981
Gand,293995.0,1092491558,35013.0,3716.0208779060868
Ganshoren,18161.0,53408980,31003.0,2940.8611860580363
Gavere,31922.0,87919640,21018.0,2754.2021176618005
Gedinne,3002.0,8343000,21018.0,2779.1472351765487
Geel,45551.0,121290241,21018.0,2662.7349783758864
Geer,2616.0,5163679,21018.0,1973.8834097859328
Geetbets,6813.0,14407766,62063.0,2114.7462204608837
Gembloux,35828.0,98776994,62051.0,2756.977615272971
Genappe,34708.0,75631849,52011.0,2179.0898063846953
Genk,24619.0,65308520,91030.0,2652.7689995531905
Gerpinnes,11743.0,24500200,84010.0,2086.366345908201
Gesves,4869.0,11453000,52021.0,2352.228383651674
Gingelom,12745.0,25644084,52021.0,2012.0897606904668
Gistel,12527.0,39093106,52021.0,3120.707751257284
Glabbeek,5169.0,11419808,52021.0,2209.2876765331785
Gooik,10265.0,33830360,52021.0,3295.699951290794
Gouvy,6806.0,14914260,52021.0,2191.3399941228326
Grammont,77047.0,163188577,52021.0,2118.039339623866
Grez-Doiceau,28041.0,83832224,52021.0,2989.6303270211474
Grimbergen,35260.0,108968047,52021.0,3090.415399886557
Grobbendonk,19741.0,45522338,52021.0,2305.9793323539843
Grâce-Hollogne,24376.0,42598828,52021.0,1747.572530357729
Haacht,18986.0,55705389,52021.0,2934.024491730749
Haaltert,31572.0,84229974,52021.0,2667.869441277081
Habay,33211.0,85696262,52021.0,2580.357773027009
Hal,51209.0,137777545,52021.0,2690.4947372532174
Halen,8999.0,21562997,52021.0,2396.15479497722
Ham,10616.0,23495574,52021.0,2213.2228711379053
Ham-sur-Heure-Nalinnes,9793.0,27118181,52021.0,2769.1392831614417
Hamme,25922.0,67791842,52021.0,2615.2242110948227
Hamoir,4135.0,9712647,52021.0,2348.8868198307136
Hamois,4212.0,10017807,52018.0,2378.396723646724
Hamont-Achel,6670.0,13201500,31043.0,1979.2353823088456
Hannut,16564.0,31439909,31043.0,1898.086754407148
Harelbeke,52401.0,126951204,31043.0,2422.6866662849948
Hasselt,74290.0,253563190,31043.0,3413.1537219006595
Hastière,11828.0,18160752,31043.0,1535.403449442002
Havelange,5818.0,8333000,61039.0,1432.279133722929
Hechtel-Eksel,11209.0,27536691,32006.0,2456.6590239985726
Heers,8082.0,15759390,57096.0,1949.9368968077208
Heist-op-den-Berg,52026.0,145436085,21017.0,2795.4500634298233
Hemiksem,10997.0,26729087,84077.0,2430.579885423297
Hensies,4375.0,7373079,21016.0,1685.2752
Herbeumont,778.0,3830000,21002.0,4922.879177377892
Herck-la-Ville,11176.0,19701488,24062.0,1762.838940586972
Herent,21157.0,63623344,24062.0,3007.200642813253
Herentals,28648.0,75585663,24062.0,2638.427220050265
Herenthout,8194.0,28409806,24062.0,3467.1474249450816
Herne,15320.0,32833471,24062.0,2143.176958224543
Herselt,18874.0,45651572,24062.0,2418.7544770583872
Herstal,37228.0,68248249,24062.0,1833.2504835070376
Herve,14787.0,30094984,24062.0,2035.2325691485764
Herzele,42665.0,95619994,24062.0,2241.1811555138875
Heusden-Zolder,22851.0,53655514,24062.0,2348.0597785654895
Heuvelland,6617.0,15353739,24062.0,2320.3474384162005
Hoegaarden,11481.0,25564732,24062.0,2226.6990680254335
Hoeilaart,9284.0,27580000,24062.0,2970.702283498492
Hoeselt,4925.0,9794010,24062.0,1988.6314720812184
Holsbeek,10567.0,30486033,24062.0,2885.022522948803
Honnelles,9354.0,10513500,24062.0,1123.9576651699808
Hooglede,12317.0,51474109,84077.0,4179.110903629131
Hoogstraten,25609.0,81060571,24062.0,3165.3157483697137
Horebeke,2494.0,6649436,24062.0,2666.1732157177225
Hotton,10033.0,14417000,24062.0,1436.9580384730389
Houffalize,10964.0,23390825,24062.0,2133.4207406056184
Houthalen-Helchteren,11424.0,26773075,24062.0,2343.5814950980393
Houthulst,16413.0,43097926,71016.0,2625.8408578565773
Houyet,5749.0,10216035,37015.0,1777.0107844842582
Hove,8152.0,29380347,23104.0,3604.0661187438664
Huldenberg,10694.0,34591012,36015.0,3234.618664671779
Hulshout,9851.0,24733936,53068.0,2510.804588366663
Huy,44600.0,68418493,44021.0,1534.046928251121
Hélécine,3772.0,8857500,52055.0,2348.22375397667
Héron,3665.0,6144998,21012.0,1676.6706684856754
Ichtegem,12441.0,38730429,52055.0,3113.128285507596
Incourt,5129.0,12013734,11002.0,2342.3150711639696
Ingelmunster,24190.0,68061182,25068.0,2813.608185200496
Ittre,22704.0,51591500,21015.0,2272.352889358703
Izegem,53648.0,114372517,32003.0,2131.9064457202503
Jabbeke,20933.0,62343944,34013.0,2978.26130989347
Jalhay,8189.0,22265100,31043.0,2718.903407009403
Jemeppe-sur-Sambre,15050.0,21310700,36007.0,1415.9933554817276
Jette,35090.0,106989499,21015.0,3049.0025363351383
Jodoigne,24217.0,50427984,31043.0,2082.338192179048
Juprelle,16154.0,37805263,41002.0,2340.303516156989
Jurbise,8293.0,16524003,92142.0,1992.524177016761
Kalmthout,21298.0,70169500,35005.0,3294.6520800075123
Kampenhout,11224.0,33475000,63067.0,2982.448325017819
Kapelle-op-den-Bos,6374.0,17420900,21006.0,2733.1189206149984
Kapellen,53133.0,195810226,13008.0,3685.284587732671
Kaprijke,7360.0,28083406,13008.0,3815.6801630434784
Kasterlee,16638.0,38034594,21012.0,2286.007573025604
Keerbergen,31614.0,79474667,13008.0,2513.9073511735305
Kinrooi,9800.0,20420403,72020.0,2083.7145918367346
Kluisbergen,11422.0,34755146,72020.0,3042.8248993171073
Knokke-Heist,332983.0,3665555801,13008.0,11008.237060150217
Koekelare,12118.0,35481130,37018.0,2927.9691368212575
Koekelberg,15561.0,44606000,37018.0,2866.5252875779192
Koksijde,79778.0,442230281,45061.0,5543.261061946902
Kontich,27987.0,79795714,45061.0,2851.1706863901095
Kortemark,20891.0,51191555,45061.0,2450.4118998611843
Kortenaken,11303.0,27646089,45061.0,2445.9071927806776
Kortenberg,24868.0,70458277,45061.0,2833.2908557181922
Kortessem,7189.0,16752265,45061.0,2330.2635971623313
Kraainem,23579.0,93448760,45061.0,3963.219814241486
Kruibeke,16852.0,48340885,45061.0,2868.5547709470684
Kruisem,23734.0,75282596,45061.0,3171.9303952136174
Kuurne,17434.0,49026363,45061.0,2812.112137203166
La Bruyère,5635.0,16406999,38014.0,2911.623602484472
La Calamine,9488.0,10257000,11002.0,1081.0497470489038
La Hulpe,21288.0,93124999,11035.0,4374.530204810222
La Louvière,62550.0,103382251,11035.0,1652.7937809752198
La Panne,50026.0,178634933,11035.0,3570.8418222524288
La Roche-en-Ardenne,11258.0,17641277,23094.0,1566.9992005684846
Laakdal,21316.0,51271711,31043.0,2405.3157721899042
Laarne,6992.0,23183762,34022.0,3315.7554347826085
Lanaken,10755.0,26406988,13031.0,2455.321989772199
Landen,15853.0,30562494,12007.0,1927.8681637544944
Langemark-Poelkapelle,5074.0,21470898,24062.0,4231.552621206149
Lasne,41974.0,147126166,31043.0,3505.1738218897412
Le Roeulx,11007.0,24323735,45061.0,2209.842373035341
Lebbeke,27113.0,68683905,45061.0,2533.2462287463577
Lede,29069.0,79606116,45061.0,2738.5226873989473
Ledegem,9673.0,21370599,21016.0,2209.3041455598054
Lendelede,6665.0,13607000,52018.0,2041.5603900975243
Lennik,12021.0,30974716,41048.0,2576.7170784460527
Lens,4809.0,9792626,91034.0,2036.3123310459555
Les Bons Villers,10036.0,20455207,73006.0,2038.1832403347948
Lessines,22914.0,40955541,56086.0,1787.3588635768526
Leuze-en-Hainaut,10011.0,21556757,23025.0,2153.3070622315454
Libin,5684.0,10193600,23105.0,1793.3849401829698
Libramont-Chevigny,12476.0,31955470,21016.0,2561.355402372555
Lichtervelde,8100.0,23777813,21016.0,2935.5324691358023
Liedekerke,17795.0,49994984,44021.0,2809.4961506041022
Lierde,9945.0,20105126,38014.0,2021.631573655103
Lierneux,5670.0,9418700,11009.0,1661.1463844797179
Lierre,61091.0,182258519,11002.0,2983.3939369137843
Lievegem,25368.0,76216065,52015.0,3004.417573320719
Lille,15558.0,36872996,52011.0,2370.034451729014
Limbourg,10027.0,25432753,57027.0,2536.4269472424453
Lincent,2671.0,5669574,57096.0,2122.640958442531
Linkebeek,4323.0,14803000,11002.0,3424.242424242424
Lint,10089.0,30021516,31043.0,2975.6681534344334
Linter,8686.0,17807838,35006.0,2050.1770665438635
Liège,291087.0,684623588,31043.0,2351.9552161381307
Lo-Reninge,6106.0,11343217,35006.0,1857.7165083524403
Lobbes,4995.0,8964308,35006.0,1794.6562562562563
Lochristi,23131.0,79257213,35006.0,3426.449915697549
Lokeren,38110.0,120745445,35006.0,3168.340199422724
Lommel,28531.0,71316304,38008.0,2499.6075847323964
Londerzeel,24127.0,68693752,71067.0,2847.1733742280435
Lontzen,3390.0,8646020,45041.0,2550.448377581121
Looz,22051.0,44756679,35029.0,2029.689311142352
Louvain,85584.0,418439091,44052.0,4889.221010936623
Lubbeek,21339.0,68489563,44052.0,3209.595716762735
Lummen,14787.0,35063960,62009.0,2371.269358220058
Léau,13524.0,31164400,38014.0,2304.3774031351672
Léglise,8578.0,16562665,31004.0,1930.8306131965494
Maarkedal,12244.0,30538798,31004.0,2494.1847435478603
Maaseik,16708.0,40746649,45035.0,2438.7508379219535
Maasmechelen,10135.0,24532711,38008.0,2420.5930932412434
Machelen,29105.0,94177588,11002.0,3235.787253049304
Maldegem,31705.0,103399558,58003.0,3261.3013089418073
Malines,91680.0,295274099,52022.0,3220.7035231239092
Malle,16996.0,52908410,71045.0,3112.991880442457
Malmedy,21210.0,27969972,71045.0,1318.7162659123055
Manage,25119.0,35356582,91034.0,1407.5632787929455
Manhay,5879.0,7465000,37002.0,1269.7737710494982
Marche-en-Famenne,32957.0,71464233,37002.0,2168.4083199320326
Marchin,3797.0,7009000,37002.0,1845.9309981564393
Martelange,2192.0,5124000,37002.0,2337.5912408759123
Meerhout,17630.0,42157373,32011.0,2391.22932501418
Meise,37346.0,100696745,53053.0,2696.3194184116105
Meix-devant-Virton,3068.0,4574000,71057.0,1490.8735332464146
Melle,8346.0,32015151,52021.0,3835.9874191229333
Menin,35427.0,83137685,21001.0,2346.7322945775823
Merbes-le-Château,3099.0,4746035,25014.0,1531.4730558244596
Merchtem,16970.0,46743266,83028.0,2754.464702416028
Merelbeke,30423.0,110951116,53082.0,3646.9485586562796
Merksplas,3497.0,12773504,53053.0,3652.703460108665
Messancy,16032.0,35501990,24009.0,2214.4454840319363
Messines,618.0,793000,31004.0,1283.1715210355987
Mettet,18569.0,40204816,31043.0,2165.1578437180247
Meulebeke,20917.0,64667400,62099.0,3091.6192570636326
Middelkerke,66642.0,266304848,62063.0,3996.0512589658174
Modave,3844.0,5759000,35011.0,1498.1789802289281
Moerbeke,7995.0,23161736,61003.0,2897.0276422764227
Mol,42588.0,112122552,84059.0,2632.7264018033247
Molenbeek-Saint-Jean,70764.0,180408889,52011.0,2549.444477417896
Momignies,5025.0,8118483,52011.0,1615.6185074626865
Mons,117441.0,266142864,52011.0,2266.183564513245
Mont-Saint-Guibert,7567.0,19801300,52011.0,2616.796616889124
Mont-de-l’Enclus,6301.0,18452313,52011.0,2928.4737343278844
Montaigu-Zichem,29157.0,77263579,52011.0,2649.915251912062
Montigny-le-Tilleul,7387.0,15542498,52011.0,2104.033843238121
Moorslede,6520.0,16408524,52011.0,2516.6447852760734
Morlanwelz,16365.0,26945753,52011.0,1646.547693247785
Mortsel,34537.0,102503129,52011.0,2967.922199380375
Mouscron,94030.0,202549141,52011.0,2154.090620014889
Musson,5450.0,11452000,52011.0,2101.2844036697247
Namur,169117.0,460544328,52011.0,2723.2290544415996
Nandrin,6066.0,11933000,52011.0,1967.1941971645235
Nassogne,4053.0,6969732,52011.0,1719.6476683937824
Nazareth,18461.0,48820827,52011.0,2644.538594875684
Neufchâteau,19331.0,32312190,52011.0,1671.5219078164605
Neupré,15115.0,39449190,52011.0,2609.93648693351
Niel,12522.0,31891649,52011.0,2546.8494649417025
Nieuport,65373.0,292278331,52011.0,4470.933428173711
Nieuwerkerken,5782.0,12313224,35005.0,2129.5786924939466
Nijlen,21533.0,52510546,93014.0,2438.607997027818
Ninove,60733.0,148576264,35005.0,2446.3844038661023
Nivelles,47843.0,128377142,35005.0,2683.300420124156
Ohey,3863.0,10285000,35005.0,2662.4385192855293
Olen,11945.0,28360513,35005.0,2374.258099623273
Olne,2939.0,6721000,35005.0,2286.8322558693435
Onhaye,4762.0,8771500,35005.0,1841.9781604367913
Oosterzele,16066.0,43138998,35005.0,2685.1112909249346
Oostkamp,17249.0,64607340,35005.0,3745.570177981332
Oostrozebeke,12553.0,30921403,35005.0,2463.2679837489045
Opwijk,26034.0,67227540,35005.0,2582.2977644618577
Oreye,3873.0,6890500,35005.0,1779.111799638523
Orp-Jauche,32709.0,70915523,35005.0,2168.073710599529
Ostende,153354.0,623095256,35005.0,4063.117075524603
Ottignies-Louvain-la-Neuve,32100.0,109286600,57081.0,3404.5669781931465
Oud-Heverlee,10960.0,36721424,25014.0,3350.494890510949
Oud-Turnhout,47067.0,128924819,25014.0,2739.176471838018
Oudenburg,17499.0,46928970,11002.0,2681.808674781416
Oudsbergen,6987.0,18438808,63067.0,2639.0164591384
Ouffet,1717.0,3678732,92094.0,2142.5346534653463
Oupeye,21935.0,48932865,21004.0,2230.8121723273307
Overijse,26914.0,81019758,,3010.320205097719
Paliseul,6420.0,9835600,56088.0,1532.0249221183801
Pecq,9096.0,25570545,56029.0,2811.185686015831
Peer,10527.0,28658320,51069.0,2722.3634463759854
Pelt,21248.0,49446577,56029.0,2327.1167639307228
Pepingen,8087.0,15176410,38025.0,1876.6427599851613
Pepinster,7793.0,10890500,44083.0,1397.4720903374823
Perwez,12790.0,36137998,44083.0,2825.488506645817
Philippeville,10193.0,12590731,44083.0,1235.2331011478466
Pittem,8249.0,25810456,44083.0,3128.919384167778
Plombières,4111.0,12490569,44083.0,3038.328630503527
Pont-à-Celles,14266.0,26487169,44083.0,1856.6640263563718
Poperinge,20427.0,44587903,23099.0,2182.792529495276
Profondeville,17206.0,44146881,21018.0,2565.784086946414
Putte,28259.0,65930114,21018.0,2333.066067447539
Puurs-Sint-Amands,45395.0,129751123,81001.0,2858.269038440357
Péruwelz,22528.0,34438104,25050.0,1528.6800426136363
Quaregnon,11682.0,14749626,24062.0,1262.5942475603492
Quiévrain,6529.0,15863366,31004.0,2429.6777454434064
Quévy,9210.0,17374235,31004.0,1886.4533116178068
Raeren,10335.0,25144199,31004.0,2432.9171746492502
Ramillies,9306.0,16283583,21003.0,1749.794003868472
Ranst,24626.0,70906084,31040.0,2879.317956631203
Ravels,31856.0,87940860,31040.0,2760.5744600703165
Rebecq,11127.0,24203281,31040.0,2175.184775770648
Remicourt,5496.0,8295000,31040.0,1509.2794759825329
Renaix,98288.0,214025993,31040.0,2177.5394046068695
Rendeux,4466.0,7299550,31040.0,1634.4715629198388
Retie,15836.0,41563106,31040.0,2624.596236423339
Rhode-Saint-Genèse,27626.0,107067000,31040.0,3875.588214001303
Riemst,13113.0,24294226,31040.0,1852.6825287882255
Rijkevorsel,15300.0,45442260,31040.0,2970.0823529411764
Rixensart,30461.0,88431547,31040.0,2903.1071534092775
Rochefort,15096.0,33554340,31040.0,2222.7305246422893
Roosdaal,21216.0,53511262,31040.0,2522.2125754147814
Rotselaar,19065.0,54479651,24062.0,2857.5741410962496
Roulers,103572.0,269602691,37018.0,2603.0461031939135
Rouvroy,2512.0,4684000,25122.0,1864.6496815286623
Ruiselede,6282.0,19316670,83031.0,3074.9235912129893
Rumes,1717.0,3310015,42006.0,1927.7897495631917
Rumst,13369.0,39705610,53020.0,2969.976064028723
Saint-Georges-sur-Meuse,10773.0,24920353,21004.0,2313.2231504687643
Saint-Ghislain,23861.0,50102336,25048.0,2099.758434265119
Saint-Gilles,48699.0,155046000,41027.0,3183.7614735415514
Saint-Hubert,4804.0,7514635,13031.0,1564.245420482931
Saint-Josse-ten-Noode,16223.0,45426500,31043.0,2800.1294458484867
Saint-Léger,4662.0,11123400,23038.0,2385.971685971686
Saint-Nicolas,111538.0,289332823,41027.0,2594.02914701716
Saint-Trond,53393.0,133473435,41027.0,2499.8302211900436
Saint-Vith,5449.0,14842398,52011.0,2723.875573499725
Sainte-Ode,3079.0,6258500,11022.0,2032.640467684313
Sambreville,18446.0,32744652,25119.0,1775.1627453106364
Schaerbeek,98705.0,295753727,13040.0,2996.3398713337724
Schelle,6292.0,21810500,62063.0,3466.3858868404322
Schilde,62575.0,223805795,31043.0,3576.600799041151
Schoten,42965.0,150461624,62063.0,3501.957965786105
Seneffe,12509.0,34597000,62079.0,2765.7686465744664
Seraing,77878.0,161352403,41002.0,2071.861154626467
Silly,8677.0,17632946,38016.0,2032.1477469171373
Sint-Gillis-Waas,33499.0,88446062,63040.0,2640.259768948327
Sint-Katelijne-Waver,16839.0,47926700,38016.0,2846.1725755686207
Sint-Laureins,8145.0,20715500,38016.0,2543.339472068754
Sint-Lievens-Houtem,10372.0,26631362,38016.0,2567.6207096027765
Sint-Martens-Latem,12571.0,67024833,38016.0,5331.702569405776
Sint-Pieters-Leeuw,32482.0,89723845,38016.0,2762.263561357059
Sivry-Rance,6582.0,7372551,38016.0,1120.1080218778486
Soignies,27981.0,61233091,38016.0,2188.381080018584
